,Usia,Gender,Gaji,Jumalh-Anak
0,43,P,1-3jt,2
1,17,L,1-3jt,3
2,42,P,1-3jt,1
3,25,P,3-5jt,2
4,29,P,5-10jt,1
5,24,L,1-3jt,4
6,60,L,3-5jt,1
7,35,P,5-10jt,4
8,45,L,5-10jt,1
9,25,L,5-10jt,4
10,57,P,5-10jt,6
11,23,P,3-5jt,1
12,36,P,3-5jt,4
13,30,P,3-5jt,1
14,37,P,1-3jt,0
15,47,P,5-10jt,1
16,56,L,5-10jt,6
17,25,L,3-5jt,1
18,36,L,5-10jt,3
19,19,L,3-5jt,0
20,19,L,1-3jt,3
21,29,L,5-10jt,0
22,46,L,3-5jt,2
23,31,P,5-10jt,4
24,20,L,5-10jt,0
25,54,L,3-5jt,1
26,60,P,3-5jt,6
27,35,L,1-3jt,5
28,19,L,1-3jt,3
29,40,L,1-3jt,1
30,22,P,3-5jt,6
31,41,P,5-10jt,4
32,30,P,1-3jt,0
33,41,L,3-5jt,3
34,42,L,1-3jt,2
35,45,P,5-10jt,1
36,57,L,3-5jt,2
37,47,P,1-3jt,3
38,56,L,3-5jt,6
39,58,L,5-10jt,0
40,53,L,5-10jt,0
41,52,P,1-3jt,6
42,20,L,5-10jt,3
43,57,P,1-3jt,1
44,57,P,5-10jt,5
45,17,P,5-10jt,5
46,56,P,1-3jt,2
47,50,L,1-3jt,6
48,56,L,1-3jt,1
49,26,L,5-10jt,5
50,20,L,1-3jt,5
51,31,P,3-5jt,1
52,47,P,3-5jt,4
53,31,P,1-3jt,4
54,23,P,5-10jt,2
55,59,P,3-5jt,5
56,50,P,5-10jt,2
57,34,L,3-5jt,5
58,33,L,5-10jt,4
59,50,P,5-10jt,5
60,34,L,3-5jt,2
61,34,L,3-5jt,2
62,20,P,1-3jt,0
63,38,P,5-10jt,3
64,23,L,5-10jt,6
65,53,L,3-5jt,4
66,44,L,1-3jt,2
67,19,P,1-3jt,1
68,48,P,1-3jt,2
69,33,P,5-10jt,6
70,31,P,3-5jt,5
71,33,L,5-10jt,1
72,37,P,1-3jt,3
73,56,L,3-5jt,3
74,60,L,1-3jt,1
75,60,P,1-3jt,3
76,52,P,1-3jt,2
77,55,L,3-5jt,3
78,33,L,3-5jt,0
79,49,P,3-5jt,0
80,56,P,5-10jt,0
81,26,P,5-10jt,3
82,56,P,3-5jt,3
83,42,P,3-5jt,6
84,59,P,5-10jt,5
85,18,L,5-10jt,4
86,59,L,3-5jt,6
87,39,L,1-3jt,2
88,51,L,5-10jt,3
89,59,P,3-5jt,4
90,25,L,5-10jt,1
91,33,L,1-3jt,1
92,26,L,1-3jt,4
93,39,L,1-3jt,4
94,20,L,5-10jt,1
95,38,L,5-10jt,6
96,35,L,3-5jt,2
97,46,P,1-3jt,4
98,53,P,1-3jt,1
99,43,P,5-10jt,3
100,19,P,3-5jt,1
101,55,L,3-5jt,4
102,19,P,1-3jt,6
103,52,P,1-3jt,0
104,29,P,1-3jt,1
105,46,P,3-5jt,6
106,32,L,5-10jt,4
107,33,P,1-3jt,4
108,60,P,1-3jt,4
109,33,L,1-3jt,0
110,58,P,5-10jt,2
111,54,L,3-5jt,5
112,28,L,3-5jt,3
113,32,P,1-3jt,5
114,24,L,3-5jt,1
115,24,P,1-3jt,2
116,23,P,1-3jt,4
117,50,P,3-5jt,0
118,54,P,1-3jt,1
119,35,P,3-5jt,1
120,23,L,3-5jt,6
121,50,P,5-10jt,2
122,56,L,3-5jt,2
123,42,P,1-3jt,4
124,53,P,3-5jt,0
125,58,L,5-10jt,6
126,43,L,1-3jt,5
127,38,L,3-5jt,6
128,34,P,5-10jt,6
129,32,L,1-3jt,3
130,18,P,3-5jt,2
131,24,P,1-3jt,2
132,46,L,1-3jt,6
133,47,P,1-3jt,6
134,34,L,3-5jt,4
135,57,P,1-3jt,1
136,40,L,3-5jt,4
137,29,L,1-3jt,1
138,26,L,5-10jt,3
139,21,L,1-3jt,1
140,37,L,3-5jt,4
141,52,L,1-3jt,0
142,39,L,3-5jt,6
143,48,L,3-5jt,2
144,24,P,1-3jt,2
145,42,P,5-10jt,2
146,25,L,3-5jt,3
147,31,P,5-10jt,0
148,25,P,3-5jt,0
149,51,P,5-10jt,5
150,39,L,3-5jt,2
151,53,L,1-3jt,2
152,23,P,1-3jt,0
153,58,P,5-10jt,3
154,20,L,3-5jt,4
155,25,L,1-3jt,0
156,21,P,3-5jt,2
157,22,P,5-10jt,1
158,50,L,3-5jt,0
159,60,P,5-10jt,3
160,51,L,3-5jt,2
161,32,L,1-3jt,2
162,26,P,1-3jt,1
163,30,P,5-10jt,4
164,56,L,1-3jt,3
165,48,P,5-10jt,5
166,23,L,5-10jt,0
167,50,P,5-10jt,3
168,52,L,3-5jt,4
169,19,P,5-10jt,4
170,34,P,1-3jt,5
171,52,P,3-5jt,0
172,45,P,5-10jt,4
173,25,P,5-10jt,2
174,58,L,3-5jt,1
175,38,L,5-10jt,0
176,51,P,3-5jt,6
177,46,L,3-5jt,1
178,35,L,5-10jt,2
179,24,P,3-5jt,2
180,41,L,1-3jt,4
181,21,P,5-10jt,3
182,51,P,1-3jt,3
183,47,P,3-5jt,3
184,53,L,1-3jt,3
185,53,L,1-3jt,4
186,46,L,1-3jt,5
187,50,P,3-5jt,4
188,23,L,5-10jt,0
189,17,L,3-5jt,6
190,34,P,1-3jt,2
191,24,L,3-5jt,1
192,37,L,5-10jt,1
193,52,P,3-5jt,2
194,53,L,3-5jt,1
195,52,L,5-10jt,1
196,54,L,1-3jt,6
197,17,L,3-5jt,1
198,58,P,1-3jt,6
199,22,L,3-5jt,1
200,50,P,3-5jt,1
201,46,P,1-3jt,4
202,26,L,5-10jt,0
203,28,P,5-10jt,4
204,24,L,5-10jt,4
205,17,L,3-5jt,2
206,35,P,5-10jt,6
207,52,P,1-3jt,2
208,31,P,1-3jt,3
209,43,L,3-5jt,6
210,40,L,5-10jt,6
211,49,P,1-3jt,6
212,37,L,5-10jt,0
213,53,L,5-10jt,0
214,27,L,5-10jt,4
215,19,P,1-3jt,0
216,44,L,5-10jt,3
217,58,L,5-10jt,4
218,47,L,1-3jt,6
219,21,P,1-3jt,2
220,31,L,5-10jt,3
221,43,L,1-3jt,4
222,52,P,5-10jt,1
223,53,L,1-3jt,1
224,27,L,5-10jt,6
225,49,L,1-3jt,0
226,60,P,5-10jt,2
227,50,L,3-5jt,2
228,48,L,5-10jt,6
229,40,L,3-5jt,3
230,21,L,5-10jt,5
231,26,L,1-3jt,1
232,23,P,5-10jt,0
233,51,P,5-10jt,6
234,36,L,5-10jt,5
235,36,L,3-5jt,6
236,37,L,3-5jt,6
237,43,L,5-10jt,5
238,59,L,5-10jt,3
239,17,P,3-5jt,0
240,32,P,1-3jt,1
241,36,P,1-3jt,4
242,56,P,3-5jt,3
243,27,P,5-10jt,1
244,21,P,5-10jt,6
245,45,P,1-3jt,1
246,21,L,1-3jt,5
247,58,P,3-5jt,6
248,45,L,5-10jt,4
249,24,P,1-3jt,3
250,58,L,3-5jt,2
251,50,P,1-3jt,5
252,37,P,1-3jt,1
253,34,L,5-10jt,2
254,32,L,3-5jt,5
255,34,L,5-10jt,5
256,55,P,5-10jt,6
257,41,L,3-5jt,0
258,52,L,5-10jt,1
259,33,P,5-10jt,0
260,20,L,5-10jt,5
261,29,L,5-10jt,3
262,25,P,5-10jt,3
263,47,P,1-3jt,2
264,60,P,5-10jt,3
265,51,P,3-5jt,4
266,48,L,5-10jt,6
267,25,L,5-10jt,3
268,52,L,1-3jt,3
269,60,L,3-5jt,3
270,55,P,5-10jt,6
271,39,P,3-5jt,0
272,42,L,1-3jt,3
273,54,L,1-3jt,2
274,32,P,3-5jt,1
275,46,P,1-3jt,3
276,58,L,5-10jt,3
277,45,P,1-3jt,0
278,19,P,3-5jt,3
279,46,L,5-10jt,2
280,30,P,5-10jt,3
281,45,L,3-5jt,5
282,33,L,3-5jt,6
283,54,L,3-5jt,2
284,52,P,5-10jt,1
285,43,P,5-10jt,4
286,48,P,5-10jt,0
287,58,P,5-10jt,2
288,59,P,3-5jt,2
289,23,P,3-5jt,1
290,42,L,3-5jt,1
291,54,L,5-10jt,1
292,58,L,3-5jt,2
293,32,P,1-3jt,2
294,22,P,3-5jt,6
295,36,P,5-10jt,4
296,34,P,3-5jt,1
297,28,L,1-3jt,4
298,32,L,1-3jt,5
299,60,P,1-3jt,2
300,47,P,5-10jt,5
301,49,L,1-3jt,3
302,40,L,3-5jt,2
303,31,P,1-3jt,4
304,26,L,5-10jt,2
305,54,P,5-10jt,0
306,44,L,5-10jt,3
307,46,P,5-10jt,2
308,40,L,3-5jt,6
309,28,L,3-5jt,4
310,35,P,3-5jt,6
311,59,L,1-3jt,3
312,60,P,5-10jt,5
313,24,P,3-5jt,4
314,33,L,1-3jt,2
315,51,P,1-3jt,5
316,26,L,1-3jt,5
317,54,P,5-10jt,3
318,33,P,1-3jt,3
319,33,P,5-10jt,2
320,31,L,1-3jt,3
321,33,P,1-3jt,3
322,60,P,3-5jt,2
323,37,L,5-10jt,5
324,47,P,1-3jt,6
325,56,P,1-3jt,3
326,38,L,5-10jt,6
327,24,P,5-10jt,6
328,35,L,3-5jt,1
329,35,L,3-5jt,6
330,41,P,1-3jt,5
331,21,L,5-10jt,3
332,50,P,5-10jt,3
333,53,P,3-5jt,1
334,31,P,3-5jt,3
335,56,P,3-5jt,4
336,57,L,3-5jt,6
337,44,L,5-10jt,5
338,34,P,1-3jt,2
339,44,P,1-3jt,6
340,40,P,5-10jt,2
341,21,P,1-3jt,4
342,22,P,3-5jt,5
343,50,P,5-10jt,1
344,23,L,3-5jt,3
345,40,L,3-5jt,4
346,40,L,3-5jt,5
347,21,L,3-5jt,5
348,39,L,3-5jt,5
349,28,L,5-10jt,1
350,23,P,3-5jt,6
351,38,P,5-10jt,4
352,58,P,3-5jt,4
353,60,L,5-10jt,5
354,25,P,5-10jt,1
355,38,L,3-5jt,6
356,33,L,5-10jt,1
357,42,P,1-3jt,3
358,39,L,1-3jt,2
359,26,P,1-3jt,6
360,39,L,3-5jt,5
361,26,P,3-5jt,5
362,24,P,1-3jt,6
363,33,P,5-10jt,0
364,36,P,3-5jt,4
365,52,L,5-10jt,4
366,41,P,3-5jt,6
367,47,L,1-3jt,3
368,33,P,5-10jt,0
369,30,P,3-5jt,3
370,49,L,1-3jt,3
371,45,P,1-3jt,2
372,51,L,3-5jt,3
373,40,P,5-10jt,2
374,22,P,5-10jt,2
375,51,P,5-10jt,2
376,55,P,1-3jt,3
377,29,L,1-3jt,4
378,31,L,1-3jt,5
379,54,P,5-10jt,0
380,25,L,5-10jt,3
381,18,P,1-3jt,1
382,49,L,1-3jt,1
383,27,L,5-10jt,6
384,53,L,3-5jt,0
385,21,L,5-10jt,6
386,17,L,5-10jt,3
387,47,P,1-3jt,0
388,52,L,5-10jt,5
389,50,P,1-3jt,6
390,29,P,5-10jt,1
391,33,P,3-5jt,5
392,33,P,5-10jt,4
393,25,L,1-3jt,4
394,30,L,1-3jt,0
395,26,L,1-3jt,0
396,36,L,1-3jt,3
397,51,P,1-3jt,5
398,17,P,3-5jt,5
399,19,P,1-3jt,2
400,57,L,1-3jt,4
401,28,P,1-3jt,2
402,19,L,1-3jt,1
403,49,P,3-5jt,6
404,34,P,1-3jt,0
405,32,L,5-10jt,2
406,21,L,5-10jt,6
407,24,P,3-5jt,1
408,28,P,1-3jt,4
409,25,P,3-5jt,1
410,52,P,1-3jt,1
411,28,P,5-10jt,6
412,27,L,3-5jt,0
413,30,P,3-5jt,4
414,48,L,3-5jt,4
415,47,P,1-3jt,1
416,33,P,5-10jt,2
417,37,P,5-10jt,2
418,40,P,5-10jt,3
419,17,L,3-5jt,5
420,45,L,3-5jt,3
421,38,L,1-3jt,4
422,52,L,5-10jt,3
423,20,P,3-5jt,1
424,56,L,5-10jt,3
425,55,P,5-10jt,2
426,46,L,1-3jt,0
427,29,P,5-10jt,3
428,44,L,3-5jt,2
429,59,P,1-3jt,2
430,21,L,3-5jt,0
431,24,P,3-5jt,6
432,32,P,3-5jt,6
433,31,P,3-5jt,1
434,60,P,5-10jt,6
435,55,P,3-5jt,4
436,59,P,1-3jt,5
437,27,L,5-10jt,6
438,48,L,1-3jt,1
439,60,P,5-10jt,4
440,60,L,1-3jt,4
441,52,L,1-3jt,1
442,22,L,1-3jt,5
443,50,L,1-3jt,0
444,33,P,5-10jt,4
445,18,P,3-5jt,1
446,44,P,5-10jt,3
447,27,P,5-10jt,4
448,18,L,3-5jt,2
449,55,P,5-10jt,5
450,58,L,3-5jt,6
451,48,P,3-5jt,3
452,29,L,1-3jt,6
453,31,P,5-10jt,6
454,25,L,5-10jt,3
455,57,P,1-3jt,0
456,53,L,5-10jt,3
457,19,L,1-3jt,0
458,21,P,1-3jt,6
459,22,P,5-10jt,1
460,26,L,1-3jt,2
461,33,L,3-5jt,1
462,45,L,3-5jt,4
463,31,L,5-10jt,1
464,57,L,1-3jt,4
465,37,P,3-5jt,3
466,40,L,5-10jt,2
467,56,L,5-10jt,6
468,27,P,1-3jt,0
469,47,L,5-10jt,2
470,19,L,1-3jt,3
471,32,L,3-5jt,3
472,45,P,3-5jt,0
473,35,L,1-3jt,2
474,17,L,1-3jt,0
475,36,L,3-5jt,2
476,53,L,5-10jt,4
477,47,L,5-10jt,0
478,58,L,5-10jt,4
479,19,P,1-3jt,1
480,53,P,3-5jt,0
481,28,L,5-10jt,0
482,34,P,3-5jt,3
483,23,L,1-3jt,5
484,24,L,3-5jt,0
485,47,L,1-3jt,0
486,48,P,5-10jt,0
487,48,P,3-5jt,4
488,48,P,5-10jt,5
489,31,L,3-5jt,3
